User,Sight,Session,Start,End,Dur,Time,ErrA,ErrB,Error
9,0,1,10:35:41,10:35:52,00:00:11,11,468.6783192,447.8894937,458.2839064
9,0,1,10:37:14,10:37:22,00:00:08,8,521.1898,554.0743565,537.6320783
9,0,1,10:37:34,10:37:41,00:00:07,7,304.5278151,326.568599,315.548207
9,0,1,10:38:11,10:38:16,00:00:05,5,105.0118303,144.0228051,124.5173177
9,0,1,10:38:26,10:38:31,00:00:05,5,130.2341126,160.1037935,145.168953
9,0,2,10:41:55,10:42:02,00:00:07,7,108.1363531,86.02400634,97.08017971
9,0,2,10:42:13,10:42:19,00:00:06,6,71.70638552,64.98273339,68.34455946
9,0,2,10:42:32,10:42:37,00:00:05,5,92.2254163,99.93717335,96.08129482
9,0,2,10:42:52,10:42:59,00:00:07,7,46.10949687,55.70166504,50.90558096
9,0,2,10:43:17,10:43:23,00:00:06,6,135.3483805,126.5168328,130.9326066
9,0,2,10:44:02,10:44:09,00:00:07,7,163.8996139,119.1232416,141.5114278
9,0,2,10:44:32,10:44:40,00:00:08,8,71.38706228,64.87316852,68.1301154
9,0,2,10:44:59,10:45:08,00:00:09,9,81.57363662,56.45768209,69.01565935
9,0,2,10:45:31,10:45:39,00:00:08,8,54.05784656,88.27223032,71.16503844
9,0,2,10:46:55,10:47:01,00:00:06,6,69.50827012,98.92828589,84.218278
9,0,3,10:52:41,10:52:47,00:00:06,6,296.988483,301.5274759,299.2579794
9,0,3,10:53:13,10:53:24,00:00:11,11,550.4918307,614.2895484,582.3906896
9,0,3,10:54:06,10:54:12,00:00:06,6,205.5798597,243.4673931,224.5236264
9,0,3,10:54:22,10:54:23,00:00:01,1,30.00569409,53.85210964,41.92890187
9,0,3,10:54:29,10:54:37,00:00:08,8,293.5001527,363.4975146,328.4988336
9,0,3,10:55:10,10:55:18,00:00:08,8,82.97748091,109.8146659,96.39607339
9,0,4,10:57:59,10:58:05,00:00:06,6,107.7031458,90.72600263,99.2145742
9,0,4,10:58:19,10:58:27,00:00:08,8,258.7835768,254.3774192,256.580498
9,0,4,10:59:47,10:59:54,00:00:07,7,118.5367128,135.0233827,126.7800477
9,0,4,11:00:49,11:01:27,00:00:38,38,47.48943706,92.38594528,69.93769117
9,0,4,11:03:48,11:04:51,00:01:03,3,50.82050201,36.72057431,43.77053816
9,0,4,11:04:59,11:05:22,00:00:23,23,716.5587683,555.5574067,636.0580875
9,0,4,11:05:53,11:06:31,00:00:38,38,79.60152075,62.60656656,71.10404366
9,0,4,11:06:44,11:07:37,00:00:53,53,72.53568008,58.55166966,65.54367487
9,0,4,11:09:15,11:09:31,00:00:16,16,268.2599906,189.3870536,228.8235221
9,0,4,11:09:52,11:10:12,00:00:20,20,744.1517674,651.2610144,697.7063909
9,0,5,11:13:35,11:13:44,00:00:09,9,74.28265235,74.25604092,74.26934663
9,0,5,11:13:50,11:14:08,00:00:18,18,697.9229916,417.7678814,557.8454365
9,0,5,11:14:19,11:14:33,00:00:14,14,153.9326008,117.00608,135.4693404
9,0,5,11:15:12,11:15:22,00:00:10,10,170.1135327,223.5704385,196.8419856
9,0,5,11:15:28,11:15:35,00:00:07,7,368.1511853,431.9232324,400.0372089
9,0,5,11:16:11,11:16:18,00:00:07,7,101.3691689,152.599988,126.9845784
12,0,1,03:28:00,03:28:08,00:00:08,8,157.3717387,6.498855943,81.93529731
12,0,1,03:28:20,03:28:27,00:00:07,7,163.1540456,6.094160114,84.62410283
12,0,1,03:28:44,03:28:52,00:00:08,8,7.757815264,8.81036411,8.284089687
12,0,1,03:29:07,03:29:15,00:00:08,8,71.01015725,8.294569904,39.65236358
12,0,1,03:29:26,03:29:33,00:00:07,7,17.13890424,5.55469796,11.3468011
12,0,1,03:30:07,03:30:12,00:00:05,5,5.35033843,335.6185616,170.48445
12,0,2,03:36:04,03:36:13,00:00:09,9,119.2119795,120.3636918,119.7878357
12,0,2,03:36:27,03:36:35,00:00:08,8,57.90517591,58.55525114,58.23021352
12,0,2,03:36:48,03:36:56,00:00:08,8,171.9517892,160.9717916,166.4617904
12,0,2,03:37:07,03:37:15,00:00:08,8,80.87490494,57.45640681,69.16565588
12,0,2,03:37:30,03:37:37,00:00:07,7,144.0108337,127.9842867,135.9975602
12,0,2,03:37:52,03:37:59,00:00:07,7,128.1527996,127.761932,127.9573658
12,0,2,03:38:11,03:38:18,00:00:07,7,162.4072716,155.104052,158.7556618
12,0,2,03:38:30,03:38:37,00:00:07,7,43.94942726,46.15961187,45.05451956
12,0,2,03:38:47,03:38:54,00:00:07,7,115.2796636,108.8114893,112.0455765
12,0,2,03:39:03,03:39:09,00:00:06,6,81.33002955,66.05716092,73.69359524
12,0,3,03:43:25,03:43:32,00:00:07,7,40.21855898,40.08883124,40.15369511
12,0,3,03:43:42,03:43:48,00:00:06,6,244.7063848,214.6536168,229.6800008
12,0,3,03:43:55,03:44:02,00:00:07,7,112.4750679,101.295096,106.885082
12,0,3,03:44:10,03:44:17,00:00:07,7,56.84070942,52.42885718,54.6347833
12,0,3,03:44:26,03:44:34,00:00:08,8,88.3483999,84.05215599,86.20027795
12,0,3,03:44:44,03:44:50,00:00:06,6,155.9220476,149.7091872,152.8156174
12,0,4,03:54:18,03:54:25,00:00:07,7,39.50592754,36.39877039,37.95234896
12,0,4,03:54:34,03:54:41,00:00:07,7,51.1648279,48.22941635,49.69712212
12,0,4,03:54:48,03:55:00,00:00:12,12,112.1790097,98.45570306,105.3173564
12,0,4,03:55:17,03:55:30,00:00:13,13,206.3011648,192.7909857,199.5460753
12,0,4,03:55:52,03:56:01,00:00:09,9,157.8281971,138.7837938,148.3059954
12,0,4,03:56:15,03:56:21,00:00:06,6,31.60891325,34.33635465,32.97263395
12,0,4,03:56:30,03:56:37,00:00:07,7,57.22444077,26.67487161,41.94965619
12,0,4,03:56:39,03:56:46,00:00:07,7,43.27500372,45.00876927,44.1418865
12,0,4,03:56:56,03:57:04,00:00:08,8,50.94594598,48.14324679,49.54459638
12,0,4,03:57:12,03:57:19,00:00:07,7,59.80921659,60.54929909,60.17925784
12,0,5,04:01:00,04:01:07,00:00:07,7,45.25386325,41.66048809,43.45717567
12,0,5,04:01:14,04:01:21,00:00:07,7,76.74778309,76.52716452,76.63747381
12,0,5,04:01:29,04:01:35,00:00:06,6,61.07164993,58.55790688,59.81477841
12,0,5,04:01:44,04:01:50,00:00:06,6,43.24258329,37.46941619,40.35599974
12,0,5,04:01:58,04:02:05,00:00:07,7,68.51793811,63.22979846,65.87386828
12,0,5,04:02:14,04:02:21,00:00:07,7,73.76317687,63.43965335,68.60141511
13,0,1,04:22:56,04:23:04,00:00:08,8,44.75594726,50.93314118,47.84454422
13,0,1,04:23:11,04:23:20,00:00:09,9,497.5216272,515.898275,506.7099511
13,0,1,04:23:39,04:23:46,00:00:07,7,287.8542824,293.6990126,290.7766475
13,0,1,04:23:54,04:24:04,00:00:10,10,282.8550282,296.3947268,289.6248775
13,0,1,04:24:12,04:24:19,00:00:07,7,103.2299573,98.14850795,100.6892326
13,0,1,04:24:27,04:24:34,00:00:07,7,52.855506,60.15322657,56.50436628
13,0,2,04:26:59,04:27:06,00:00:07,7,39.79762864,43.46762239,41.63262552
13,0,2,04:27:15,04:27:21,00:00:06,6,48.56595217,55.6430625,52.10450733
13,0,2,04:27:33,04:27:39,00:00:06,6,74.8590583,70.96268318,72.91087074
13,0,2,04:27:49,04:27:54,00:00:05,5,45.40984398,47.81047838,46.61016118
13,0,2,04:28:06,04:28:12,00:00:06,6,45.98573703,40.82857623,43.40715663
13,0,2,04:28:23,04:28:29,00:00:06,6,51.01568233,52.96215084,51.98891658
